# time x_sun y_sun x_mercury y_mercury x_venus y_venus x_earth y_earth x_mars y_mars x_jupiter y_jupiter x_neptune y_neptune x_uranus y_uranus x_neptune y_neptune energy_error
0.82001 0.000514835 0.000116036 -0.420151 0.179279 -0.37207 0.62272 0.395446 -0.910983 -1.56222 0.547739 4.42336 2.28497 29.7834 0.947929 18.2493 1.23187 29.7834 0.947929 -3.79448e-10
0.83001 0.000527061 0.000119466 -0.451793 0.102449 -0.433433 0.582145 0.452278 -0.8831 -1.57843 0.504015 4.41063 2.31075 29.783 0.959485 18.2483 1.24687 29.783 0.959485 -2.29216e-10
0.84001 0.000539414 0.000122972 -0.465557 0.0215573 -0.490323 0.53557 0.507285 -0.851647 -1.59327 0.459855 4.39776 2.33647 29.7827 0.971041 18.2473 1.26187 29.7827 0.971041 -8.69543e-11
0.85001 0.000551892 0.000126552 -0.461229 -0.0601694 -0.542161 0.483485 0.560237 -0.816741 -1.60674 0.415297 4.38475 2.36211 29.7823 0.982597 18.2463 1.27687 29.7823 0.982597 5.19954e-11
0.86001 0.000564496 0.000130207 -0.438875 -0.139533 -0.588422 0.426432 0.610915 -0.778515 -1.61881 0.370381 4.3716 2.38767 29.7819 0.994152 18.2453 1.29186 29.7819 0.994152 1.91637e-10
0.87001 0.000577222 0.000133935 -0.398854 -0.213257 -0.628639 0.365004 0.659105 -0.737115 -1.62949 0.325145 4.35831 2.41316 29.7815 1.00571 18.2443 1.30686 29.7815 1.00571 3.35081e-10
0.88001 0.000590072 0.000137735 -0.341897 -0.277887 -0.662406 0.299837 0.704605 -0.692704 -1.63877 0.279631 4.34488 2.43857 29.7811 1.01726 18.2433 1.32186 29.7811 1.01726 4.83934e-10
0.89001 0.000603044 0.000141607 -0.269251 -0.329704 -0.689383 0.231599 0.747222 -0.645456 -1.64664 0.233876 4.33132 2.4639 29.7807 1.02882 18.2422 1.33685 29.7807 1.02882 6.36787e-10
0.90001 0.000616138 0.000145549 -0.182936 -0.364673 -0.709299 0.160994 0.786775 -0.595557 -1.6531 0.187922 4.31761 2.48916 29.7803 1.04037 18.2412 1.35185 29.7803 1.04037 7.86118e-10
0.91001 0.000629354 0.00014956 -0.0861202 -0.378492 -0.721954 0.0887429 0.823095 -0.543209 -1.65815 0.141806 4.30377 2.51433 29.7799 1.05193 18.2401 1.36684 29.7799 1.05193 9.12465e-10
0.92001 0.000642693 0.000153639 0.0163463 -0.366858 -0.727221 0.0155864 0.856026 -0.488623 -1.66177 0.0955695 4.28979 2.53943 29.7795 1.06348 18.239 1.38183 29.7795 1.06348 9.75275e-10
0.93001 0.000656156 0.000157785 0.117332 -0.326159 -0.725048 -0.0577279 0.885427 -0.432019 -1.66397 0.0492513 4.27567 2.56444 29.7791 1.07504 18.2379 1.39683 29.7791 1.07504 9.03803e-10
0.94001 0.000669744 0.000161998 0.207058 -0.254852 -0.715456 -0.13045 0.911171 -0.373628 -1.66475 0.00289115 4.26141 2.58937 29.7787 1.08659 18.2368 1.41182 29.7787 1.08659 6.04263e-10
0.95001 0.00068346 0.000166276 0.27373 -0.155566 -0.698541 -0.201837 0.933147 -0.31369 -1.66411 -0.0434713 4.24702 2.61422 29.7783 1.09815 18.2357 1.42681 29.7783 1.09815 1.64086e-11
0.96001 0.000697304 0.000170622 0.30611 -0.0370073 -0.674472 -0.271157 0.951259 -0.252452 -1.66205 -0.0897964 4.2325 2.63899 29.7779 1.1097 18.2346 1.4418 29.7779 1.1097 -7.7884e-10
0.97001 0.00071128 0.000175037 0.29782 0.0864348 -0.643489 -0.337698 0.965428 -0.190166 -1.65856 -0.136045 4.21784 2.66367 29.7774 1.12125 18.2334 1.45679 29.7774 1.12125 -1.52843e-09
0.98001 0.000725386 0.000179524 0.250558 0.198719 -0.605906 -0.400777 0.975593 -0.127089 -1.65365 -0.182176 4.20305 2.68827 29.777 1.13281 18.2323 1.47177 29.777 1.13281 -1.98317e-09
0.99001 0.000739623 0.000184085 0.17319 0.28745 -0.562099 -0.459743 0.98171 -0.0634842 -1.64733 -0.228152 4.18812 2.71278 29.7766 1.14436 18.2311 1.48676 29.7766 1.14436 -2.08861e-09
1.00001 0.000753988 0.000188721 0.0776326 0.346498 -0.51251 -0.513984 0.983752 0.000385524 -1.63959 -0.273931 4.17306 2.7372 29.7761 1.15591 18.23 1.50174 29.7761 1.15591 -1.95211e-09
1.01001 0.000768481 0.000193433 -0.0249462 0.375186 -0.457642 -0.562936 0.98171 0.0642545 -1.63045 -0.319476 4.15787 2.76154 29.7757 1.16747 18.2288 1.51673 29.7757 1.16747 -1.70534e-09
1.02001 0.000783101 0.000198219 -0.125833 0.376105 -0.398051 -0.606085 0.975592 0.127858 -1.6199 -0.364745 4.14254 2.78579 29.7752 1.17902 18.2276 1.53171 29.7752 1.17902 -1.43446e-09
1.03001 0.000797848 0.000203079 -0.218881 0.353267 -0.334344 -0.642978 0.965427 0.190931 -1.60796 -0.4097 4.12709 2.80996 29.7748 1.19057 18.2264 1.5467 29.7748 1.19057 -1.17945e-09
1.04001 0.000812721 0.000208014 -0.299986 0.311028 -0.267172 -0.673219 0.951258 0.253212 -1.59463 -0.454302 4.1115 2.83403 29.7743 1.20213 18.2251 1.56168 29.7743 1.20213 -9.52671e-10
1.05001 0.000827723 0.000213024 -0.366497 0.253599 -0.197223 -0.696484 0.933146 0.314444 -1.57992 -0.49851 4.09578 2.85801 29.7738 1.21368 18.2239 1.57666 29.7738 1.21368 -7.53633e-10
1.06001 0.000842853 0.000218108 -0.416741 0.184887 -0.125219 -0.712517 0.911171 0.374375 -1.56384 -0.542287 4.07993 2.88191 29.7734 1.22523 18.2227 1.59164 29.7734 1.22523 -5.76931e-10
1.07001 0.000858112 0.000223267 -0.449704 0.108496 -0.0519034 -0.721135 0.885429 0.432756 -1.5464 -0.585591 4.06396 2.90571 29.7729 1.23678 18.2214 1.60662 29.7729 1.23678 -4.15799e-10
